format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
721 mind 1 marvel 4
722 wallow 1 marvel 5
723 hurt 2 marvel 6
724 suffer 5 marvel 6
725 prod 0 touch 0
726 exist 0 gorge 0
727 survive 0 gorge 0
728 notice 0 see 2
729 see 9 see 2
730 see 10 see 2
731 see 0 see 2
732 see 9 see 2
733 brush 1 braid 0
734 clip 1 braid 0
735 comb 2 braid 0
736 cut 34 braid 0
737 manicure 1 braid 0
738 set 2 braid 0
739 accept 1 characterize 2
740 accept 4 characterize 2
741 dig 1 hunt 0
742 hunt 5 hunt 0
743 compress 1 knead 0
744 freeze 5 knead 0
745 freeze 6 knead 0
746 melt 2 knead 0
747 twirl 0 knead 0
748 wind 2 knead 0
749 work 7 knead 0
750 stain 1 fill 0
751 stain 0 fill 0
752 beat 2 shake 1
753 land 0 pocket 0
754 ground 3 pocket 0
755 groom 0 groom 0
756 bring 4 bring 0
757 survive 0 exist 2
758 survive 1 exist 2
759 append 1 shake 2
760 attach 2 shake 2
761 bind 4 shake 2
762 fasten 1 shake 2
763 graft 0 shake 2
764 moor 2 shake 2
765 splice 2 shake 2
766 appoint 1 appoint 0
767 proclaim 0 appoint 0
768 ordain 1 appoint 0
769 adopt 1 appoint 0
770 adopt 2 appoint 0
771 nominate 1 appoint 0
772 nominate 0 appoint 0
773 wring 0 funnel 0
774 fit 5 funnel 0
775 create 2 engender 0
776 beat 5 crane 0
777 blow 0 crane 0
778 clench 0 crane 0
779 cock 1 crane 0
780 cross 3 crane 0
781 flash 0 crane 0
782 flex 2 crane 0
783 flick 3 crane 0
784 hang 9 crane 0
785 kick 3 crane 0
786 raise 14 crane 0
787 shake 4 crane 0
788 stretch 8 crane 0
789 turn 6 crane 0
790 wrinkle 0 crane 0
791 dither 1 linger 1
792 hesitate 0 linger 1
793 linger 1 linger 1
794 cruise 3 nonvehicle 0
795 cruise 2 nonvehicle 0
796 drive 10 nonvehicle 0
797 drive 0 nonvehicle 0
798 fly 8 nonvehicle 0
799 fly 3 nonvehicle 0
800 ride 5 nonvehicle 0
801 ride 2 nonvehicle 0
802 sail 1 nonvehicle 0
803 babble 0 manner_speaking 0
804 bark 1 manner_speaking 0
805 bleat 1 manner_speaking 0
806 boom 2 manner_speaking 0
807 cackle 2 manner_speaking 0
808 call 20 manner_speaking 0
809 chant 0 manner_speaking 0
810 chatter 3 manner_speaking 0
811 coo 1 manner_speaking 0
812 cry 1 manner_speaking 0
813 hiss 0 manner_speaking 0
814 howl 1 manner_speaking 0
815 murmur 1 manner_speaking 0
816 sing 2 manner_speaking 0
817 squall 0 manner_speaking 0
818 trill 0 manner_speaking 0
819 warble 0 manner_speaking 0
820 whine 1 manner_speaking 0
821 halt 0 stop 1
822 contribute 0 contribute 4
823 drain 2 cheat 0
824 favor 1 admire 1
825 support 2 admire 1
826 value 0 admire 1
827 deplore 0 admire 1
828 envy 1 admire 1
829 resent 0 admire 1
830 believe 2 admire 1
831 suffer 5 admire 1
832 coexist 1 correspond 1
833 collaborate 0 correspond 1
834 communicate 0 correspond 1
835 confabulate 0 correspond 1
836 dissent 0 correspond 1
837 spoon 0 correspond 1
838 herd 1 shake 3
839 pair 2 shake 3
840 separate 8 separate 0
841 separate 3 separate 0
842 separate 3 separate 0
843 disentangle 0 separate 1
844 divide 1 separate 1
845 cover 9 contiguous_location 1
846 overhang 1 contiguous_location 1
847 ring 2 contiguous_location 1
