format:
number verbclassinstance numberedinstance propbankinstance numberedinstance
692 judgement 0 greet 0
693 manner_speaking 0 mumble 0
694 amuse 0 fascinate 0
695 nonvehicle 0 pedal 0
696 wipe_manner 1 shave 0
697 other_cos 0 intensify 0
698 entity_specific_modes_being 0 stream 0
699 other_cos 0 energize 0
700 other_cos 0 widen 0
701 send 0 hand 1
702 judgement 0 chide 0
703 give 0 peddle 0
704 dress 0 exercise 1
705 amuse 0 embarrass 0
706 run 0 bowl 0
707 amuse 0 haunt 0
708 crane 0 arch 0
709 bump 1 slam 0
710 rummage 0 poke 0
711 spray 0 sprinkle 0
712 get 0 call 8
713 steal 0 exorcise 0
714 modes_of_being_with_motion 0 sway 0
715 body_internal_motion 0 squirm 0
716 transcribe 0 televise 0
717 exist 0 endure 0
718 captain 0 sponsor 0
719 other_cos 0 firm 1
720 other_cos 0 decentralize 0
721 amuse 0 relieve 1
722 judgement 0 castigate 0
723 manner_speaking 0 shout 0
724 poison 0 shoot 2
725 correspond 1 haggle 0
726 light_emission 0 flicker 0
727 sound_emission 0 blare 0
728 substance_emission 0 leak 0
729 fill 1 contaminate 0
730 run 0 bolt 0
731 sound_emission 0 rattle 0
732 amuse 0 realign 0
733 characterize 1 envisage 0
734 create 0 construct 0
735 crane 0 hunch 0
736 correspond 1 communicate 0
737 contiguous_location 1 ring 2
738 send 0 transmit 0
739 tape 0 hook 0
740 give 0 retail 0
741 other_cos 0 redouble 0
742 amuse 0 browbeat 0
743 manner_speaking 0 burble 0
744 captain 0 volunteer 0
745 fulfilling 0 furnish 0
746 bill 0 bill 1
747 give 0 render 0
748 build 0 fold 2
749 bend 0 crumple 0
750 transcribe 0 tape 0
751 banish 0 recall 1
752 put 0 reinstall 0
753 captain 0 star 0
754 give 0 give 4
755 characterize 1 affirm 0
756 calibratable_cos 0 differ 1
757 other_cos 0 explode 1
758 remove 0 extract 0
759 meander 0 crawl 0
760 other_cos 0 liquify 0
761 throw 0 fling 0
762 remove 0 eradicate 0
763 say 2 reiterate 0
764 admire 1 regret 0
765 amuse 0 displease 0
766 manner_speaking 0 croon 0
767 engender 0 spawn 0
768 herd 0 mass 0
769 other_cos 0 destabilize 0
770 judgement 0 persecute 0
771 spank 0 club 0
772 other_cos 0 solidify 0
773 search 0 watch 1
774 other_cos 0 hasten 0
775 chit_chat 0 gossip 0
776 disassemble 0 sift 0
777 fill 1 inundate 0
778 entity_specific_modes_being 0 trickle 0
779 complain 0 brag 0
780 shake 0 lump 0
781 learn 0 glean 0
782 fill 1 swathe 0
783 wink 0 nod 0
784 calibratable_cos 0 fluctuate 0
785 entity_specific_modes_being 0 roil 0
786 cheat 2 exonerate 0
787 clear 0 clear 3
788 admire 1 stand 3
789 nonverbal_expression 0 glare 0
790 breathe 1 drool 1
791 manner_speaking 0 whisper 0
792 peer 0 peer 0
793 butter 0 bread 0
794 send 0 pass 10
795 amuse 0 stun 0
796 light_emission 0 glow 0
797 throw 0 shoot 4
798 pocket 1 land 1
799 instr_communication 0 radio 0
800 steal 0 kidnap 0
801 run 0 stumble 0
802 vehicle 1 boat 0
803 butter 0 shutter 0
804 get 0 order 1
805 exhale 1 exhale 0
806 amuse 0 bewitch 0
807 other_cos 0 flatten 0
808 characterize 1 certify 0
809 spray 0 pile 0
810 light_emission 0 flare 0
811 body_internal_motion 0 fidget 0
812 run 0 tear 1
813 other_cos 0 slacken 0
814 exist 0 reside 0
815 tingle 0 ache 0
816 fill 1 cover 3
817 differ 0 diverge 0
818 judgement 0 congratulate 0
819 admire 1 miss 2
820 herd 0 convene 0
821 amuse 0 agitate 0
822 mix 1 blend 0
823 image_impression 0 stamp 1
824 fulfilling 0 trust 1
825 amuse 0 calm 0
826 amuse 0 daunt 0
827 other_cos 0 cool 1
828 other_cos 0 lighten 1
829 run 0 jump 3
830 other_cos 0 fray 0
831 judgement 0 deride 0
832 correspond 1 bicker 0
833 say 2 confide 0
834 amuse 0 soothe 0
835 carve 1 slice 0
836 amuse 0 antagonize 0
837 future_having 0 reassign 0
838 other_cos 0 crumble 0
839 fill 1 soil 0
840 butter 0 postmark 0
841 other_cos 0 muddy 0
842 linger 1 dawdle 0
843 fill 1 plug 1
844 amuse 0 captivate 0
845 characterize 1 cast 1
846 search 0 comb 0
847 smell_emission 0 stink 0
848 reflexive_appearance 0 reassert 1
849 other_cos 0 level 2
850 give 0 pass 12
851 advise 0 counsel 0
852 cheat 2 void 0
853 give 0 rent 0
854 captain 0 police 0
855 other_cos 0 sober 0
856 other_cos 0 warm 0
857 other_cos 0 warm 1
858 characterize 1 disguise 0
859 judgement 0 abuse 0
860 give 0 lease 1
861 search 0 patrol 0
862 pit 0 peel 0
863 other_cos 0 blunt 0
864 other_cos 0 neutralize 0
865 other_cos 0 steady 0
866 steal 0 rescue 0
867 put 0 set 6
868 modes_of_being_with_motion 0 rotate 0
869 carve 0 drill 0
870 amuse 0 delight 0
871 amuse 0 irritate 0
872 substance_emission 0 sweat 0
873 pain 0 hurt 1
874 complain 0 gripe 0
875 amuse 0 astound 0
876 cheat 2 cheat 1
877 other_cos 0 pop 2
878 fill 1 pollute 0
879 wipe_instr 0 mop 0
880 spray 1 jam 0
881 coil 0 wind 2
882 nonvehicle 0 sail 0
883 judgement 0 celebrate 1
884 illustrate 0 address 1
885 judgement 0 penalize 0
886 investigate 0 raid 0
887 steal 0 impound 0
888 mix 0 link 1
889 leave 0 desert 0
890 run 0 slog 0
891 bring 1 bring 2
892 get 0 rent 1
893 sound_emission 0 creak 0
894 correspond 1 joke 0
895 appear 0 dawn 0
896 butter 0 water 1
897 substance_emission 0 seep 0
898 sight 0 spy 0
899 crane 0 twiddle 0
900 other_cos 0 sharpen 0
901 fill 1 taint 0
902 register 0 clock 0
903 other_cos 0 harden 0
904 marry 0 court 0
905 suffocate 0 choke 0
906 appoint 0 ordain 0
907 modes_of_being_with_motion 0 undulate 0
908 other_cos 0 dull 0
909 cheat 2 acquit 0
910 judgement 0 snub 0
911 vehicle 1 cycle 0
912 separate 2 part 0
913 run 0 slither 0
914 amuse 0 irk 0
915 future_having 0 bequeath 0
916 amuse 0 enliven 0
917 rush 0 hurry 0
918 wipe_manner 1 distill 0
919 run 0 scurry 0
920 want 1 covet 0
921 modes_of_being_with_motion 0 waft 0
922 herd 0 flock 0
923 manner_speaking 0 crow 0
924 correspond 1 concur 0
925 pocket 1 trap 0
926 poison 0 strangle 0
927 tape 0 tack 2
928 spray 0 stock 1
929 sound_emission 0 clang 0
930 wipe_manner 1 suck 0
931 nonverbal_expression 0 sob 0
932 amuse 0 disgust 0
933 run 0 scamper 0
934 orphan 0 orphan 0
935 entity_specific_modes_being 0 blossom 0
936 dressing_well 0 dress 1
937 correspond 1 spar 0
938 modes_of_being_with_motion 0 waver 0
939 masquerade 0 pose 1
940 banish 0 deport 0
941 image_impression 0 paint 1
942 masquerade 0 masquerade 0
943 wipe_manner 1 whisk 0
944 run 0 glide 0
945 run 0 frolic 0
946 correspond 1 joust 0
947 fill 1 choke 1
948 search 0 scout 0
949 wipe_manner 1 squeeze 2
950 wipe_instr 0 vacuum 0
951 weekend 0 vacation 0
952 fill 1 mask 0
953 characterize 1 visualize 0
954 other_cos 0 gray 0
955 fill 1 stud 0
956 disappearance 0 die 1
957 equip 1 outfit 0
958 amuse 0 unnerve 0
959 appoint 0 reckon 0
960 amuse 0 embolden 0
961 future_having 0 cede 0
962 correspond 1 argue 1
963 wipe_instr 0 plow 0
964 judgement 0 thank 0
965 other_cos 0 quiet 0
966 fill 1 infect 0
967 search 0 excavate 0
968 build 0 refashion 0
969 judgement 0 excoriate 0
970 amuse 0 discomfit 0
971 nonverbal_expression 0 beam 0
972 nonverbal_expression 0 grimace 0
973 berry 0 snipe 0
974 correspond 1 struggle 1
975 amuse 0 outrage 0
976 sound_emission 0 beep 0
977 dine 0 feast 0
978 entity_specific_modes_being 0 correspond 0
979 create 0 synthesize 0
980 other_cos 0 toughen 0
981 break 0 shatter 0
982 avoid 0 dodge 0
983 amuse 0 miff 0
984 entity_specific_modes_being 0 smoke 1
985 dub 0 nickname 0
986 other_cos 0 smooth 1
987 other_cos 0 quadruple 0
988 sound_emission 0 jingle 0
989 run 0 roam 0
990 run 0 lumber 0
991 sound_emission 0 whirr 0
992 drive 1 shuttle 0
993 spatial_configuration 0 jut 0
994 hurt 2 strain 2
995 poke 0 poke 1
996 put 0 stash 0
997 run 0 romp 0
998 shake 3 graft 0
999 run 0 tramp 0
1000 nonverbal_expression 0 scowl 0
1001 stimulus_subject 0 taste 0
1002 butter 0 wax 0
1003 wipe_instr 0 brush 1
1004 cheat 2 absolve 0
1005 say 2 articulate 0
1006 other_cos 0 ignite 0
1007 build 1 remake 0
1008 other_cos 0 disintegrate 0
1009 complain 0 grouse 0
1010 run 0 bound 0
1011 run 0 trundle 0
1012 future_having 0 will 0
1013 drive 1 barge 0
1014 modes_of_being_with_motion 0 jiggle 0
1015 tape 0 stitch 0
1016 modes_of_being_with_motion 0 totter 0
1017 other_cos 0 tame 0
1018 fill 1 endow 0
1019 fill 1 festoon 0
1020 banish 0 banish 0
1021 amuse 0 rile 0
1022 amuse 0 torment 0
1023 amuse 0 enlighten 0
1024 substance_emission 0 spout 0
1025 pour 0 spurt 1
1026 disappearance 0 vanish 0
1027 illustrate 0 illuminate 0
1028 amuse 0 amuse 0
1029 other_cos 0 cool 2
1030 split 0 tug 0
1031 run 0 gallop 0
1032 send 0 hand 2
1033 other_cos 0 shorten 0
1034 correspond 1 quarrel 0
1035 other_cos 0 char 0
1036 ferret 0 tease 0
1037 peer 0 peek 0
1038 price 0 appraise 0
